no,created_kst,updated_kst,title,status,model,origin,environment_kind,tags,session_id,url
1,2026-09-07 12:34,2026-09-07 12:34,세션 데이터 백업,RUNNING,claude-opus-5,android,anthropic_cloud,,session_01FaaxQxiuGLqLnWsnRVuTHr,https://claude.ai/code/session_01FaaxQxiuGLqLnWsnRVuTHr
2,2026-09-06 16:17,2026-09-06 17:34,로컬 파일 손실 복구,IDLE,claude-opus-5,claude_code_cli,bridge,remote-control-sdk,session_01Px9hEHPGeTj8HpK62Z3wVf,https://claude.ai/code/session_01Px9hEHPGeTj8HpK62Z3wVf
3,2026-09-05 12:26,2026-09-05 12:33,미니앱 운영 전략 및 폴더 구조 정리,IDLE,claude-sonnet-5,claude_code_cli,bridge,remote-control-sdk,session_015XKGHCTjYRfoRd4AZUkAWd,https://claude.ai/code/session_015XKGHCTjYRfoRd4AZUkAWd
4,2026-09-05 12:21,2026-09-05 16:32,[업데이트]별핑계 기능 및 방향성 개선,IDLE,claude-sonnet-4-6,claude_code_cli,bridge,remote-control-sdk,session_0117FWwrPX5qeh9hJYunqdQN,https://claude.ai/code/session_0117FWwrPX5qeh9hJYunqdQN
5,2026-09-04 22:20,2026-09-05 17:24,(폐기)언제 출발해 기획 및 설계,IDLE,claude-opus-5,claude_code_cli,bridge,remote-control-sdk,session_01SWGQhXZpN5c3MkZQ7Bkk9B,https://claude.ai/code/session_01SWGQhXZpN5c3MkZQ7Bkk9B
6,2026-09-04 22:19,2026-09-05 22:23,맛마따나 세션 킥오프,IDLE,claude-opus-5,claude_code_cli,bridge,remote-control-sdk,session_013w27ry4c6zJ5UnqcYonRXR,https://claude.ai/code/session_013w27ry4c6zJ5UnqcYonRXR
7,2026-09-04 21:43,2026-09-06 16:15,토스 미니앱 SDK 전환 검토,IDLE,claude-sonnet-5,claude_code_cli,bridge,remote-control-sdk,session_01G9cWXwRX4Lk2MPUBSj8ndp,https://claude.ai/code/session_01G9cWXwRX4Lk2MPUBSj8ndp
8,2026-09-03 23:41,2026-09-06 09:19,[운영]별핑계 이슈 및 버그 대응,IDLE,claude-sonnet-4-6,claude_code_cli,bridge,remote-control-sdk,session_01MSWmEdtBE1M82prrkuRAgq,https://claude.ai/code/session_01MSWmEdtBE1M82prrkuRAgq
9,2026-09-02 22:38,2026-09-05 17:23,지름신 대기실 미니앱 출시 준비,IDLE,claude-opus-5,claude_code_cli,bridge,remote-control-sdk,session_016uYYucbF55rcFwFheRXxYH,https://claude.ai/code/session_016uYYucbF55rcFwFheRXxYH
10,2026-09-02 22:36,2026-09-06 09:17,인생 챕터 검토 및 출시 준비,IDLE,claude-opus-5,claude_code_cli,bridge,remote-control-sdk,session_01GFhwytbyL1iszUDzSp5Zbt,https://claude.ai/code/session_01GFhwytbyL1iszUDzSp5Zbt
11,2026-09-01 21:40,2026-09-05 17:19,[업데이트]별점 기능 및 방향성 개선,IDLE,claude-sonnet-4-6,claude_code_cli,bridge,remote-control-sdk,session_011qVUp3HbPY3eGfUrcoEp8a,https://claude.ai/code/session_011qVUp3HbPY3eGfUrcoEp8a
12,2026-08-30 17:15,2026-09-03 22:35,[마케팅]별핑계 푸시·프로모션·핵심지표,IDLE,claude-sonnet-4-6,claude_code_cli,bridge,remote-control-sdk,session_01GF1fJdDCJTahiGXmuD4PLk,https://claude.ai/code/session_01GF1fJdDCJTahiGXmuD4PLk
13,2026-08-30 17:15,2026-09-02 22:36,[마케팅]별점 푸시·프로모션·핵심지표,IDLE,claude-sonnet-4-6,claude_code_cli,bridge,remote-control-sdk,session_01BFLRVQZsjhzdrwC8S4PzbA,https://claude.ai/code/session_01BFLRVQZsjhzdrwC8S4PzbA
14,2026-08-29 18:55,2026-08-29 19:04,Toss 미니앱 출시 성공 사례 분석,IDLE,claude-sonnet-4-6,claude_code_cli,bridge,remote-control-sdk,session_01ChqQsw3HP8J1baQJp8dFjW,https://claude.ai/code/session_01ChqQsw3HP8J1baQJp8dFjW
